id	text	class_label
8730	এবাভে সব অপরাধ তুলে ধরা দরকার।	Positive
22863	তামিম ইকবাল	Neutral
17724	ভালো রেজাল্ট করলেই ভালো মানুষ হওয়া যায় না।বাবা মায়ের উচিৎ সন্তানকে ভালো মানুষ হওয়ার শিক্ষা দেওয়া।	Neutral
25426	কেমন বাংলাদেশ চায় বাংলার যুবসমাজ	Neutral
3038	বরাবরের মতই অসাধার	Positive
7270	+Neamot Ullah সহজ বাংলায় ENT specialist হলো নাক-কান-গলা বিশেষজ্ঞ । :)	Neutral
25268	ইমরানের গালে গালে জুতা মারে তালে বাচ্ছা কই যাওয়ার সময় পাবি না.	Negative
4659	খুবই খারাপ	Negative
26079	ধন্য বাদ লিটন ভাই আমি ও আছি আপনার সাতে আমাদের সরকার ও পসাষন টিক নয় কারন জাফর ইকবালে সাহষ কোথায় তেকে পেয়েছে আমি জুদি বাংলাদেশ তাকথাম তা হলে তার দোকান পেটটল দিয়ে জালিয়ে দিতাম জাফর ইকবাল জুদি আপনি বাংলাদেশ তাক তাহলে তোমার জীবন শেষ আমি বাংলাদেশ আসতেছি আমার বাড়ি সিলেট লিটন ভাই আপনারে আমি সেলুট জানাই ভাই	Positive
23697	আমরা বিদেশে এসে লানচিত হই, আর বিদেশিরা আমাদের দেশেই আমাদের লানচিত করে, তাহলে কোথাই আমরা আর আমাদের দেশ???	Negative
26312	প্রিয় হিরো ঠিক বলছেন	Positive
3869	vaiya awesome onkk bhalo নববর্ষ।।	Positive
25303	তরে সবার আগে জবাই করতে হবে এমরানইন্না	Negative
16798	জীবনটা সত্যি সহজ একটা গাছের সবুজ কচি খান্ডের বাতাসে একটু হাসে আর সূর্যের আলোতে আলতো রং তাদের কে ধরে রেখে আমাদের এই সুন্দর জীবন	Positive
25046	ইমরান হাসৃমি আপনি দেকেন জনগন রা কি লিখে এটা ওয়ামিৃলিগ এর কিনা দেশ নাকি এটা জনগনের দেশ	Negative
25540	টিউলিপ যাতে বাংলাদেশ এ না আসে যেহেতু সে আত্মস্বীকৃত বাংলাদেশি না	Neutral
17130	অনেক চেষ্টা করেছি তবুও পারিনি অবশেষে হেরে গেলাম,,,Sorry,,,,,, h,s,c,,,,,ex,,,,,,,	Neutral
24739	শালা খানকীর পোলা নাস্তিক শালা ইমরান খানকির পোলা	Negative
18152	আমি ইন্ডিয়া থেকে বলছি। সত্যি কথা বলতে সুনিল গভাস্করের সাথে সাকিবের দ্বন্দ থাকায় এমনটা হয়েছে।	Neutral
24578	নজরুল হালা সব সময়ে জামায়াত স্বপক্ষের লোক	Negative
26166	জাফর একটা বড় হাইওয়ান	Negative
10899	নওফেল ভাই এসব কথা ভাল না	Negative
25126	নাস্তিক রা নিজেদের সবচেয়ে বুদ্ধিমান মনে করে, আসলে তাদের মত মুর্খ আর কেউ নয়। তদের বিচার আল্লাহ করবে।	Neutral
25504	ওই বেটা হিন্দু মালায়ুনকে জুতা পিটা করা দাকার মাদার সরকরকে টিকিয়ে রেখেছেন ওই জানুয়ার ছাত্র লীগ নামক কুকুররা অার পুলিশ লীগ জারজরা অাবার বলছে ছাত্র লীগরা এই অাওয়ামী দালাল.	Negative
25342	তিন. টাই নাস্তিক. হুজুর. আপনি বাদ দিন	Neutral
17894	কয়জনের বাবা মা এমন ভাল হয়??? অনেক কেয়ারিং ছিলেন তারা। আর ছেলেমেয়েরা এসব দেখলে পড়াশুনায় ডাব্বা মারবে।	Neutral
11171	কোটা নিয়ে যে আন্দোলন হলো, ছাত্ররা কয়টা গাড়ী ভেঙ্গেছে।?? সব	Negative
4767	ভালই শেষ টা একঘেয়ে। সবসময় কেউ না কেউ মরে যায়, বাস্ কাহিনী খতম।	Negative
9325	ভাই আমার এলাকায় একজন পোভাব শালি লোক চাঁদাবাজি করে মানুষের ভয়ে কিছু বলতে পারেনা 01630556537	Negative
25997	ধুর মাগির পোলা	Negative
21984	ভাল ছিলো	Positive
25864	বুকাচুদা তুই তো ভালো ভাবে নিজের ভাষায় কথাই বলতে পারিস না। তুই তো বইটার কভার পেইজই দেখলি ভেতরের মাল মসলা পড়িস নাই। তুই শিক্ষিত না ভালো সমাজে মিশিস না তাই English বলতে পারিস না। ভাই বাঙলা মাতৃভাষা প্রানে থাকলেই তো তাকে বার বার স্বরন করা যায়।	Negative
25977	সত্য বলেছেন	Positive
19968	এই হারটা বাংলার প্রোয়োজন ছিলো, কারন বাংলাদেশ সব কিছুতেই অতিরিক্ত করে ফেলে, অতিরিক্ত কোনো কিছুই ভালো তা আবারো প্রমান হলো,,,	Neutral
19282	আমি কোন দিনো এর সমর্থন করি না। যদি পায়ে বড় ধরনের আঘাত পায়।	Neutral
27659	আপনার ভিডিও কোয়ালিটি আমার কাছে বেশ ভালো লাগলো।	Positive
22893	Abhijeet Kundu আগে সোনা কাইটা আসিস তারপর ধর্ম নিয়ে কথা বলিস। তোগো ধর্মে তো দেব দেবিরা কুত্তার মতো রাস্তা ঘাটে চুদাচুদি করে, আর কোন এক কুত্তার পেট থেকে তুই পড়ছিস আরকি বুঝলাম। মালাউনের বাচ্চা	Neutral
15094	প্রাচ্যের বক্সপোর্ড	Negative
14209	মমননরাাচহকসািডডডেনকগততনর	Neutral
22623	এতো সুন্দর কথা বলছেন খুব ভালো লাগছে	Positive
6294	ভয়ঙ্কর সুন্দর বলে যা থাকে। তাই	Positive
25362	ইমরান কত আর চামচামি করবি	Negative
25067	ইমরানের মা য়েরে চুদি আর এই খানে যে দুই মাগি আছে তাদের দুই জন কে চুদি	Negative
26965	আমি একটা গান পরবেন সবাই নুসারট ফারিয়া আমার কমরটা দিলাইয়া তরে আর তর মারে বিসানায় ফালইয়া এমন চুদাচুদমু না মাগির বাচ্চা সব ভুলে যাবি যে গানটা লিখছে সে একটা মাগির পুত বা মাগির জি মনে।।। এক কথায় বুঝাতে চায় হট বাবা মায়ের হট সন্তান####	Negative
14733	Ananno sarker আমি কি আপনার বন্দু হতে পারি +৯৭৪৬৬৫২৯৩৫২	Neutral
21516	সালমান ভাই, খুব শখ ছিলো একটা ভিডিওতে আপনার সাথে পার্টিসিপেট করা। কিন্তু জানি আমার মত লাখো ফ্যানের ভিরে আমিও হারিয়ে যাবো আপনার চোখের আড়ালে।	Neutral
28071	ভাই এতো ভুল ‍ information disen Ken।	Negative
25312	সালার গোয়য় kick de	Negative
25298	উপস্থাপক কে ধন্যবাদ।	Positive
26277	সাবাস বাঙালি মুসলমান প্রতিবাদীদের প্রতিবাদ করতে যাওয়া নাস্তিকের বিরুদ্ধে করতেই থাকবে থাকবে না কখনো প্রত্যেক মুসলমানের দরকার জেগে ওঠার মুসলিম জাগো	Neutral
17866	সাওনের মতন আমিও একজন পরাজিত সৈনিক ছিলাম। কিন্তু হেরে যাইনি	Positive
7737	ভাইয়া এইফোনটি কি বাংলাদেশে আছে এই ফোনটির বাংলাদেশি প্রাইস	Neutral
25783	একজন ভালো মানুষ	Positive
12626	জারজ মাগির পোলা তোর মার ভোদায় তোরে ডুকাই মাগির পোলা	Negative
26525	Ismail hossain এইটা ভালো ছিলো	Positive
11709	আপনাকে সেলুট বড	Positive
25317	এই চেনেলটা একটা আবাল। সব সময় একজন মওলানার সাথে ৩ জন নাস্তিক রাখে। সব নষ্টের গরি এই চেনেল।	Negative
26319	ইলিয়াছ ভাই আপনে অনেক ধন্যবাদ৷	Positive
8631	তালাশ টিমের কাছে আমার একটি অনুরুদ, আপনারা যদি পুরপুরি ইপিসড দিতে পারতেন, তা হলে আরোও ভাল হত, ইপিসডের লাস্টের কোন সমাধান হয়না কেন,	Neutral
27754	মাসাআল্লাহ	Positive
28410	আগল পাগল মন্ত্রী বানাই বালের উন্নতি করবে	Negative
27266	গানটা দেখলে মেজাজ খারাপ হয়ে যায়। নুসরাত কে পুরাই ফইন্নি লাগে। তোমার পোষাক না থাকলে আমাকে বল। আমার অনেক পোষাক। লাগলে পাঠিয়ে দিচ্ছি	Negative
27985	এইটা,,ভাল,,না,,	Negative
17045	"""Channel i"" কে অনুরোধ জানাচ্ছি যে, এই নাটক টি আবার টিভি তে প্রচার করা হোক।।।।"	Neutral
25055	ছি নাস্তিক	Negative
5309	ভালোই ছিলো কিন্তু শেষের জন্য	Positive
6810	ভাব না আমার শিমুল লাল যে আগুন মহুয়ার বনে মাতাল হাওয়া	Neutral
27133	Ranajit Saha মাগি সানিলিওনের ছেয়ে ও খারাপ	Negative
28211	কাল আমি এই ভিডিও শেয়ার করেছিলাম,,,,আজ দেখি অনেক ভিউ। আমারো ভালো লাগলো দেখে। মানুষ সত্যিটা জানতে পারছে।	Positive
26108	কথা কিন্তু সত্য	Neutral
19215	,,বাংলাদেশ ফুটবল টিমকে বাদ দিয়ে ক্রিকেট টিম দিয়েই দুই খেলা চালিয়ে যাক, তাতে করে ক্রিকেটের সাথে ফুটবলেরও উন্নতি ঘটবে।	Neutral
25593	সেলুট বাংলার সাহসী বীরপুরুষ সালাম আপনাকে	Positive
11131	তুই আসলে মাগি	Negative
25151	ত্রসব হুজূর না ত্রগূলো হল শয়তান আমী যা বুজী যারা অরজীনাল হুজূর তারা কখনো রাজনিতী করেনা তারা শূধূ ইসলমের বেপারে সবাইকে বুজায়	Neutral
22872	তোমাদের সভাবটাই হচেছ পর ধম কে মনধ বলা বোকা হিনদুরা নয় তরা। কয়লা তোইলে ময়লা য়ায না।	Positive
23331	আপনার সুন্দর মন্তব্যের জন্য আপনাকে অনেক ধন্যবাদ।	Positive
28136	কিছুই বলার নাই ভাই !!	Neutral
20367	We are Tigers মুশফিকের সেলুট	Positive
3339	ভালোবাসি আপনাদের	Positive
28353	রাজাকার রা জে মুক্তিযোদ্ধার সর্টিফফিকেট নিযে় বসে আছে ওইটা দেখেনা মতিয়া চৌধুরী ?ওরা কি ওর বাপ লাগে ?	Negative
16770	অসাধারণ!!!!	Positive
6829	2017 এসেও এই গান টা কে কে শুনছেন? ♥♥	Neutral
25217	ঐ খানকির পুলাড়া কি অনুষ্ঠান বানাচ মাদারচোদ,, ইমাম একজন নিচো কেন পারলে সমান সমান লোক নিতা, ৪ মাদারচোদ মিলে একজনকে ডাবাও,	Negative
28050	সত্যি মিথ্যা সব সময়ই বলে দিবে	Neutral
10402	দারুন মিউজিক	Positive
25109	এমরান একটা জারোজ সুলতানাকামাল একটা মাগি শাথে আর একটা খানকি	Neutral
27911	ভাওতাবাজি তখন হবে যখন এটি আসলেই আমাদের কাজে লাগবেনা বা লাভবান হবে না। তবে আশা করি এটি আমাদের দেশের মানুষের কাজে লাগবে এবং দেশ লাভবান হবে।	Neutral
17463	জীবনটা আসলে আকাশের মতো।কখনো সেটা সুখের রং দেখায় আবার কখনো দুঃখের রং দেখায়।স্টুডেন্টের জীবনটাও সেরকম।আমি গোল্ডেন A+ চাই না। আমি চাই শিহ্মায় শিহ্মিত হতে। জীবনে আমার অনেক কষ্ট।গোল্ডেন A+ আমিও পেয়েছি।। কিন্তু আমি এখনো শিহ্মার প্রকৃত আলোর দেখা পাইনি। আমার জীবনটাও তেমনি।	Negative
27977	সেটালাইট খুব ভালো কথা কিনতু মানুষসে কি উপুকার হবে	Neutral
3819	ফ্রি 5GB নিবেন কি করে জানতে click করুন এ	Neutral
